"Id","Value"
6001x,-0.932762148032
6001y,0.482871120702
6002x,-0.887564554204
6002y,0.505435281048
6003x,-1.01496934695
6003y,-0.0279609315609
6004x,-0.953788899826
6004y,0.428692199409
6005x,-0.033333005978
6005y,-0.963605077268
6006x,-0.901736451136
6006y,-0.219590781708
6007x,-0.152836110193
6007y,-1.04789057659
6008x,0.885259813317
6008y,0.223393257192
6009x,1.03751712562
6009y,-0.116567534679
6010x,-0.878394130997
6010y,0.440189381174
6011x,-0.624871707531
6011y,0.738877074941
6012x,-0.887614029621
6012y,-0.233134484853
6013x,-1.03435769179
6013y,0.0917446908711
6014x,0.504340390495
6014y,-0.817623473919
6015x,-0.335793085971
6015y,-0.991412367947
6016x,-0.320003678087
6016y,-0.998759243208
6017x,-0.844943975877
6017y,-0.392032766714
6018x,0.603607379179
6018y,-0.737149966376
6019x,-0.297795600371
6019y,0.897373661491
6020x,0.955496780036
6020y,0.128098995089
6021x,-0.00247193762618
6021y,-1.04462149943
6022x,-0.575988207343
6022y,-0.842183068675
6023x,-1.00038812517
6023y,-0.0696798648003
6024x,0.531082873195
6024y,0.901242171524
6025x,-0.484478937426
6025y,-0.891694212288
6026x,0.195202487959
6026y,-0.94751800143
6027x,-0.846311867114
6027y,-0.289988306783
6028x,-0.610694858966
6028y,-0.810605103667
6029x,-1.05543274523
6029y,0.0820084572374
6030x,0.712070757592
6030y,-0.712569324118
6031x,-0.389348907368
6031y,-0.946680237205
6032x,0.341544534372
6032y,-0.817685537356
6033x,-0.959443151992
6033y,0.432944595086
6034x,-0.938434511282
6034y,-0.160507485149
6035x,0.984968296475
6035y,-0.280548974209
6036x,-0.772980381927
6036y,-0.601649768506
6037x,0.0136106019055
6037y,-1.04010797505
6038x,0.633240325345
6038y,-0.714767340621
6039x,0.647293897096
6039y,-0.705260614396
6040x,0.704903209471
6040y,0.619431152434
6041x,-0.949192071969
6041y,-0.118731930145
6042x,0.85734958752
6042y,0.369717964007
6043x,1.02157837866
6043y,-0.0512235802868
6044x,0.00442108659638
6044y,-1.04014391102
6045x,-0.626104464206
6045y,-0.856554793359
6046x,-1.1265425739
6046y,-0.0281544986119
6047x,0.85396454769
6047y,0.304499813631
6048x,1.07905121695
6048y,-0.0724417777168
6049x,0.919370491349
6049y,-0.412802110339
6050x,-1.00496772128
6050y,-0.0839001639989
6051x,-1.02208803327
6051y,0.00482604798041
6052x,-1.039385106
6052y,-0.053091186959
6053x,0.68262693341
6053y,-0.64697796438
6054x,0.814135901844
6054y,0.493315260659
6055x,1.01750404036
6055y,-0.112078209358
6056x,-0.740408083936
6056y,0.642141776486
6057x,0.865664034891
6057y,-0.582473453658
6058x,0.398589429245
6058y,0.995269424176
6059x,-0.794457729718
6059y,0.56900074285
6060x,0.727119418084
6060y,0.604372493201
6061x,0.559201537505
6061y,0.887251648462
6062x,-0.128217416152
6062y,0.999535330894
6063x,-0.90464370575
6063y,-0.205968889958
6064x,-0.102729627726
6064y,0.942279604804
6065x,-0.325606584835
6065y,-0.952736160496
6066x,0.457753859516
6066y,-0.811132344987
6067x,0.099543344933
6067y,-0.970433331265
6068x,-0.897364347575
6068y,-0.244635361665
6069x,0.0898266049624
6069y,-0.995958019071
6070x,-0.990072300571
6070y,-0.073378355786
6071x,0.998234970202
6071y,-0.308335596809
6072x,0.36501943333
6072y,-0.855572110033
6073x,-0.107951830334
6073y,0.987596675534
6074x,0.073635744485
6074y,-1.03317504605
6075x,0.618661287207
6075y,-0.717997060539
6076x,0.686826974502
6076y,-0.664282149274
6077x,0.565577761761
6077y,-0.781526313095
6078x,-1.01618884356
6078y,-0.0347409211923
6079x,0.793579737585
6079y,0.45423246191
6080x,-1.04297811305
6080y,0.177268465038
6081x,1.0307188875
6081y,0.0269399704696
6082x,0.778998958311
6082y,-0.592968942329
6083x,0.617336931979
6083y,-0.75759121565
6084x,0.361154643822
6084y,-0.813866297354
6085x,0.993750095621
6085y,0.0782608793076
6086x,0.876421970999
6086y,0.425145546421
6087x,-1.01752495406
6087y,0.0142048035131
6088x,-0.513336864718
6088y,-0.911824744003
6089x,-0.570675823856
6089y,0.772560411349
6090x,-0.291848023841
6090y,-0.995738537431
6091x,1.03880206845
6091y,-0.171748677152
6092x,1.05327371216
6092y,-0.135304953215
6093x,0.26195479739
6093y,-0.919121178264
6094x,-0.0707551759152
6094y,-1.05192539718
6095x,-0.880703647237
6095y,-0.464367155158
6096x,0.844635096165
6096y,-0.480243502307
6097x,-0.662326766641
6097y,-0.727143889334
6098x,-0.318009075354
6098y,-0.989677587806
6099x,0.820586669637
6099y,0.455298343753
6100x,-1.05863772703
6100y,0.00940050429759
6101x,1.03081718391
6101y,-0.071687886193
6102x,1.1080610968
6102y,-0.0352279705932
6103x,-0.655871282927
6103y,0.706541865752
6104x,-1.02109014989
6104y,0.16649311548
6105x,0.268125597401
6105y,-0.872461784989
6106x,-0.617350242465
6106y,-0.734315010504
6107x,-0.892233070657
6107y,0.4861965104
6108x,0.0981266030084
6108y,1.0589603216
6109x,0.782946853872
6109y,0.526213237581
6110x,0.278633558839
6110y,-0.876544612473
6111x,0.942957133848
6111y,-0.404963556382
6112x,-0.609587498036
6112y,-0.790802669414
6113x,-0.539268781928
6113y,0.817234118506
6114x,-0.34937545601
6114y,0.843464031986
6115x,0.182917178509
6115y,-0.932033524372
6116x,0.406367661327
6116y,-0.865393021815
6117x,0.187537880244
6117y,-0.88812296184
6118x,-0.217221335319
6118y,-1.05562079285
6119x,-0.0320991148519
6119y,1.05161520253
6120x,0.832759326591
6120y,0.398423884354
6121x,0.469122101148
6121y,0.931165406409
6122x,0.563347312005
6122y,-0.760846886078
6123x,-0.311704196923
6123y,-1.03237191241
6124x,-0.760276734845
6124y,-0.536161673522
6125x,-0.823892266551
6125y,-0.487219111181
6126x,0.0881262057713
6126y,1.03954233249
6127x,-0.688154804261
6127y,0.685630036664
6128x,0.965816609807
6128y,-0.383449628946
6129x,0.995419858873
6129y,0.0736504617239
6130x,1.04871576988
6130y,0.0365082563781
6131x,0.906919535641
6131y,0.185178396063
6132x,0.31849744022
6132y,0.979604555251
6133x,0.874410810942
6133y,-0.5644198487
6134x,-0.342698762857
6134y,-0.975719270026
6135x,-0.465040357563
6135y,-0.939619961624
6136x,1.04873507099
6136y,-0.131731961774
6137x,1.01332409674
6137y,-0.157744394236
6138x,-0.311301282594
6138y,0.835164806801
6139x,-0.187923137438
6139y,0.911128405186
6140x,-0.0225893376602
6140y,-1.03925558522
6141x,0.650372416511
6141y,0.712348252405
6142x,-0.613279183888
6142y,-0.718899590578
6143x,0.191747778405
6143y,-0.977639776855
6144x,0.527857464405
6144y,-0.812277325056
6145x,0.558203038638
6145y,-0.796297297013
6146x,0.865650480944
6146y,-0.501232513051
6147x,-0.464161689879
6147y,-0.944019832746
6148x,1.04925524705
6148y,-0.0692879774658
6149x,-0.0489610629155
6149y,-1.07751490681
6150x,0.802454040814
6150y,-0.557167786273
6151x,0.999992010544
6151y,0.0442178276052
6152x,-0.383634430495
6152y,0.867381622066
6153x,-0.265547826476
6153y,-1.01512235849
6154x,1.00669926777
6154y,0.0314937750192
6155x,1.00796721679
6155y,-0.277938304258
6156x,0.6750300894
6156y,0.679373317657
6157x,0.078742251724
6157y,-1.01354891074
6158x,1.03339804061
6158y,-0.23461498734
6159x,-0.947715630783
6159y,-0.171193360155
6160x,-0.953511691033
6160y,-0.107737497434
6161x,-0.871151151366
6161y,-0.327968878052
6162x,-0.870857921055
6162y,-0.337253314993
6163x,-1.06120226766
6163y,0.0525344310894
6164x,0.838198193745
6164y,-0.53238858289
6165x,-0.0211264975794
6165y,1.02288597329
6166x,-0.149185547913
6166y,-1.08299922088
6167x,-0.98575878505
6167y,-0.101793426275
6168x,0.99604867053
6168y,0.0638687604728
6169x,0.734707662103
6169y,-0.646998270387
6170x,-0.950542898878
6170y,-0.0940095638741
6171x,-0.87300860609
6171y,-0.295940593915
6172x,0.99668320958
6172y,-0.0109863180191
6173x,0.626286069773
6173y,-0.758816406909
6174x,-0.444766001552
6174y,0.827307126662
6175x,-0.859764893032
6175y,-0.305461774151
6176x,0.493859320995
6176y,-0.780748059552
6177x,0.30782591197
6177y,-0.887964873642
6178x,-0.829559350051
6178y,-0.385165791631
6179x,0.733668399385
6179y,-0.661018993922
6180x,-0.298828676299
6180y,0.867239282229
6181x,-0.620698609096
6181y,-0.823470284511
6182x,-0.978407418797
6182y,-0.161074240043
6183x,0.133388246339
6183y,-0.953220194057
6184x,-1.07021185417
6184y,0.18619675255
6185x,0.360145424435
6185y,-0.913319900833
6186x,-0.778111265334
6186y,-0.570202604201
6187x,-0.661286597357
6187y,0.637699770302
6188x,0.105668126706
6188y,-0.980370337859
6189x,1.01843873515
6189y,-0.281952176086
6190x,0.384113068011
6190y,0.975726530596
6191x,-0.728870510578
6191y,-0.678386244471
6192x,0.579121210732
6192y,-0.753366241247
6193x,0.47794386513
6193y,0.915341368104
6194x,1.00866662244
6194y,-0.265167333043
6195x,0.667442463825
6195y,-0.621210576137
6196x,-0.34416155324
6196y,-1.02140378742
6197x,0.610510088416
6197y,0.828753272826
6198x,1.04524946235
6198y,-0.195177264739
6199x,1.04841124471
6199y,-0.0940646264204
6200x,-1.01605779826
6200y,-0.0539811822743
6201x,-0.0735073124171
6201y,-1.06588240036
6202x,1.06941836765
6202y,-0.134449722878
6203x,0.0628755650662
6203y,-1.0163643649
6204x,-0.105966389085
6204y,-1.04804624078
6205x,1.00425032226
6205y,-0.177980784321
6206x,0.153181755533
6206y,-0.96566994676
6207x,-0.649780311741
6207y,-0.781172545541
6208x,-0.817743005529
6208y,0.591020808804
6209x,-1.02242848003
6209y,0.233504770565
6210x,0.665951308741
6210y,0.685264456455
6211x,1.00273566181
6211y,0.170865205995
6212x,-0.347430742014
6212y,-0.940148178015
6213x,-1.02983857963
6213y,-0.0383478600243
6214x,1.01936164487
6214y,0.0906298677938
6215x,0.757968073671
6215y,0.566750033183
6216x,-0.365734576667
6216y,-0.978885357827
6217x,0.655915235889
6217y,0.736408666472
6218x,1.01023428841
6218y,-0.177454337389
6219x,1.04087468895
6219y,-0.0818517252628
6220x,-0.986204418257
6220y,-0.120002992177
6221x,-0.134044241738
6221y,0.990749235092
6222x,-0.838877588185
6222y,-0.409514849847
6223x,-0.804385562932
6223y,-0.462463195081
6224x,-0.828282643609
6224y,-0.41083062129
6225x,0.85285774602
6225y,0.374017835004
6226x,-0.66694789558
6226y,0.64260955614
6227x,-0.853419612803
6227y,-0.271443372007
6228x,0.491893423619
6228y,-0.787152831827
6229x,-0.277047592163
6229y,0.931691110516
6230x,-0.455592580579
6230y,-0.945099464283
6231x,-0.557674959438
6231y,-0.852896174588
6232x,-1.06302437127
6232y,0.0891337357495
6233x,-0.128261337221
6233y,-1.01202959438
6234x,-0.475537405512
6234y,-0.918795145085
6235x,-0.0718187367456
6235y,-1.05150426597
6236x,0.242537000508
6236y,-0.912331458836
6237x,-0.16851189173
6237y,-1.09587531902
6238x,-1.05861685585
6238y,0.068156044187
6239x,-0.511365588532
6239y,-0.942094193333
6240x,-0.216518476464
6240y,-1.08710357425
6241x,0.458915443852
6241y,-0.81864722724
6242x,-0.94715884628
6242y,0.375068234621
6243x,-0.28267200845
6243y,-1.00974314283
6244x,-0.742970350782
6244y,-0.607849388837
6245x,0.97017288122
6245y,0.0845435843823
6246x,-0.192703644639
6246y,-1.05277520419
6247x,-0.775743100658
6247y,-0.610585508049
6248x,0.650258021871
6248y,-0.700548490773
6249x,-0.657596306702
